income,happiness
4.78368549,3.393439153
2.889242002,1.295427294
3.214372439,2.791113803
4.311785997,3.822270313
1.600033017,1.680997133
6.956079482,5.498147193
1.828306344,1.265488916
6.561419985,6.281370191
5.099417157,4.737045954
2.549608776,2.060794311
1.865995232,1.357373136
5.688487723,4.658742683
3.900409939,3.565224319
4.498103821,1.907136833
5.139565218,4.216057592
3.097615732,1.67239058
7.076166367,5.010577427
2.539088891,1.748651124
4.315794177,3.357597382
4.935596519,4.130778265
6.879333037,5.21140132
2.544347646,2.351202468
1.576365722,0.987603172
3.581097036,1.843675775
6.374253863,3.670291526
4.77205909,3.554600317
3.383896674,0.73163629
3.104918354,1.095999271
2.813900047,1.759698667
6.781564124,4.98536659
2.182561567,0.992917365
3.437164722,3.802970673
1.680473928,1.606072357
2.373232035,1.524782291
6.143149816,4.927132625
3.483599117,2.325309226
4.255557225,3.618829789
4.48358582,3.031497066
4.647555992,1.497024128
6.235585355,5.135455316
3.509663093,1.616607435
2.280650861,0.727221191
3.681485586,3.036819937
2.169977498,1.853347613
1.574953616,1.502211626
3.239940593,3.09688561
6.840930948,5.915781395
2.409381746,1.857541886
5.845197028,4.159887144
2.090354141,1.852117711
7.06279211,6.863387951
5.877906294,4.633915057
3.882513505,2.977916724
7.478446618,4.877725538
6.244341635,3.452067233
2.601553311,2.282266934
6.707825202,4.810424058
6.687677218,5.522891668
2.28989742,1.571949813
3.441513288,2.017513588
4.517244574,3.722097639
6.919942971,6.236955312
6.376228033,6.186945609
3.037231724,2.410635566
1.788359923,1.145295813
2.607853159,1.945961053
2.24311363,0.97288292
1.780478658,2.003926093
5.760289224,4.758785492
3.784560552,1.690458095
7.2070597,4.209470573
5.128545227,3.757378987
1.848412558,2.09736906
2.757338498,2.480606467
3.534566235,2.667465435
6.052731401,4.400455145
6.182899232,5.323507389
4.674517389,3.192991809
2.683731229,2.466292344
5.080968448,3.822203964
6.195003987,4.058311616
6.708603726,6.064013048
3.512216897,3.026918175
1.924133698,1.461144421
4.947372147,3.615471053
6.481616962,4.820091247
1.587315346,1.312758977
4.632839514,3.175406147
5.395016451,4.199728526
4.748859137,4.902991575
5.931366673,5.538047529
4.190672496,2.239664992
6.495854763,5.335718004
3.530344828,3.158618594
4.688219626,2.994204284
4.63374137,3.706660981
1.63938057,1.798718303
3.65648599,2.857614364
1.530807727,2.421464669
5.723226096,4.425995084
6.460742301,3.426911652
3.670376931,3.47649914
1.514153223,0.859499052
6.660216364,5.949347502
3.574296929,1.631261107
3.63228339,3.802973633
3.035461316,2.260395693
6.27178643,4.940227777
2.30719771,3.509604688
1.579470288,1.981809911
7.11722011,5.562545475
5.91047527,3.201042435
5.307839437,2.890447416
3.410030276,2.089042355
2.184084991,1.226298134
6.38594064,4.477271392
5.664344909,3.773260652
6.087609623,4.397451275
3.771415149,3.577800675
7.260374143,5.381398471
7.111583642,6.086478284
2.371230424,3.961032766
4.709489378,2.457921707
1.618311459,1.511205108
2.996520703,1.662253199
7.347245523,4.396622319
5.741724885,3.776484631
7.180907194,5.60796663
5.952001916,3.56472374
5.196082373,3.31760678
6.377376426,5.079475899
3.699205521,3.233313747
7.463509813,4.50344538
3.660876547,3.823898686
7.025517695,4.81153338
3.275334807,2.798160728
1.762058178,1.353317341
2.517463803,1.529560944
2.345107567,1.437876724
4.28007538,3.64088397
5.873493543,3.26747544
1.89032676,2.48162387
6.36491894,4.36170927
4.60617584,1.999325527
5.189031076,4.767595639
6.004521296,4.932409978
7.310502636,5.923346071
5.350515664,4.078208838
6.52277168,5.386559329
6.9768987,5.367236103
4.427108605,3.581381038
1.544634333,1.644636603
5.529908432,3.822179643
5.461635882,4.017611208
2.142359555,0.971332454
6.831257549,3.837977768
2.92270632,1.919511103
4.317032306,3.661656456
5.711263543,3.901170334
4.216468481,3.20079786
1.920862764,1.625268393
7.423832498,4.909688469
2.359507794,0.898732803
7.081589058,4.121647747
4.278209872,3.691348189
5.666951153,3.688539518
5.506395117,4.261013003
6.392483125,3.69639041
3.174175764,3.126603239
4.867339442,3.739995796
3.881098692,3.156367436
3.789429291,2.473079377
2.840140748,1.228773184
5.484718965,5.046081775
1.931180677,2.465761128
7.186112258,5.151598289
2.60203712,2.152698433
6.633618821,5.380070207
3.112592784,3.539854127
6.831322325,5.132401469
7.119478595,5.951814099
5.224205274,5.767814366
2.380512706,2.169161261
4.710847457,2.408379902
4.29198369,3.16938024
5.492589725,4.105224517
2.07995534,2.847816843
3.764539962,4.030864938
5.932269677,3.966215411
5.370336904,3.225132752
4.414998466,4.79332516
2.908146911,2.363564669
4.381923282,3.550337184
5.904246043,4.57685653
3.982189934,2.400087291
2.099093467,1.478787199
2.628482853,1.619226127
6.325906067,4.827416304
2.641348462,1.877147043
4.087461982,3.217847363
7.196409251,5.596398273
6.391428135,5.239909498
2.070950246,0.685848874
6.501274722,4.374832318
6.535798861,4.656998572
3.044114204,1.871957854
6.540988357,5.713802294
6.847515267,4.486703665
7.439247611,6.359600004
5.298480408,3.514891782
5.470124995,4.660289961
4.670192578,4.550636958
5.241189571,3.543203654
3.589023138,2.250929414
4.975851368,4.540636147
2.694022127,2.19759212
3.363097172,3.515179177
6.279265066,4.234991215
2.291055478,0.953412996
4.604409215,3.415806479
1.927996684,1.065623809
3.770670898,3.31157823
5.64471409,3.75430142
6.574595032,4.179521023
7.032057099,5.040174582
4.417665557,3.468573793
6.368292668,3.570013567
5.634643477,4.808150425
6.950744997,4.169100759
6.001806863,4.039547986
3.121630526,2.942449872
2.124429242,2.734960056
4.591489106,4.229663345
6.074158292,4.503108168
5.983845696,3.988452835
2.117742331,1.445798858
2.45932138,2.042739312
5.061758185,3.35807157
5.456441309,3.135475154
5.720877412,3.596398318
3.314556071,2.220470327
2.085130525,2.740395407
7.45150065,4.109944653
3.498967518,2.768523129
3.860695981,2.435094856
4.545707462,3.629424387
7.161872875,6.160434101
7.136759971,5.506621537
5.744539644,5.032211034
5.095615491,5.638460387
3.910198547,3.483925685
3.540504299,3.552736964
6.074327799,4.649143652
2.642098592,2.030297043
2.347687551,0.846505526
2.849458214,2.391549999
2.646458097,1.788176341
2.423143852,2.100552494
6.030607372,4.821810262
3.68287749,2.576176307
4.589572497,4.250568064
2.507768548,2.155733626
6.628036302,4.402663195
4.159576384,1.790342317
3.827254525,2.32169769
3.433064765,3.172299463
5.482862234,3.857424259
5.248175536,4.253501304
4.979381382,3.433489759
7.481521381,6.196295546
7.448116557,5.963422086
3.424021093,3.056376653
6.475625217,5.368041173
2.82582659,2.188938121
1.98456369,2.579516515
2.070601883,2.191833702
5.610390825,4.590970461
5.415052928,4.501158336
6.089162512,5.275294151
6.19810376,4.661261209
1.697463691,0.546190176
7.297722283,6.384274497
6.225606,5.034231009
5.379795423,4.28799968
1.856371752,0.654242148
5.014809669,3.313796516
7.466653196,5.960547308
4.420311904,4.391592976
3.233942432,2.399561326
2.343075473,2.958696801
3.842709679,2.468859994
4.264789552,3.751089281
4.230888794,4.155540864
3.154042591,1.294136576
4.056005444,3.571446511
2.730768821,2.646904537
4.172336668,3.751225463
2.809090781,2.946870435
2.917048671,2.923683874
4.034172109,3.61905549
6.2672605,5.085523011
2.253399021,1.558422563
5.919129259,4.37825945
3.748093215,3.749180727
2.220403863,0.688909231
6.461243321,4.206754912
3.471798585,2.535002113
5.972741351,3.315989476
5.157697377,4.600114757
7.195037289,5.231702968
7.101619593,5.34835294
4.270036551,3.157765091
5.224070229,3.344108372
3.13982572,1.245785944
3.528318956,2.546524587
6.503882324,4.317133158
1.611606313,3.481137767
5.082657925,3.11334209
3.820115372,2.246745707
2.965991721,1.560355376
3.118959195,2.769118126
3.126856179,2.517400876
3.434699925,2.714498038
